12,Your client is an Indian sweets manufacturer who is facing a decline in profits. He wants your help. How will you proceed? Assume I am the client.,"Instructions for the case: 
1. Avoid referring to a problem as 'this issue'. Refer to your client as the client and not 'we', 'the manufacturer', 'the company' etc. 
2. Ask your questions in precise, understandable English. Avoid ambiguity by reducing the usage of words 'this','that','they','we','our', etc.
3. Try to ask relevant questions in an orderly fashion. This is how you will be evaluated",,,,,,,,,,,,,,,
Question Ending,Question Importance,Question Class,Level,Question,Answer,Similar 1,Similar 2,Similar 3,Similar 4,Similar 5,Similar 6,Similar 7,Similar 8,Similar 9,Similar 10,Similar 11,Similar 12
0,0,0,1,How much have the client's profits declined by?,There has been a decline of 20%,What is the decline in the client's profits?,Do we know how much our client's profits have decreased by?,How much is the decrease in our client's profits?,How much have profits decreased by?,What is the decrease in our profits?,How much is the decline in our profits?,How much have our profits declined by?,What is the decline in profits?,,,,
0,0,0,1,For how long has the client been experiencing a decline in profits?,"It’s a recent issue, since the last 2-3 months.",Since when has the company faced this decline?,Since when has the company been experiencing this decline in profits?,Since when have we seen a decline in profits?,For how long have we been seeing this decline?,Since when have we observed a decrease in profits?,Since when have we been facing the problem of decline in profits?,For how long has the client been facing this issue?,Since when has the company faced this issue?,Since when have we observed this issue of a decrease in profits?,For how long have we been facing this issue?,,
0,0,0,1,What exactly is the client's product?,"These are toffees, like a Mentos. This is of one kind. Also, this is a commodity product.",What kind of sweets does our client manufacture?,What are these sweets exactly?,Can you tell me about what the product is exactly?,What do we mean by sweets here?,Can you tell me what these sweets are exactly?,What is our product?,What are these sweets precisely?,,,,,
0,1,0,1,How many types of toffees does the client have?,There is just one type of toffee. There are no flavours or varieties.,Do we sell different kinds of toffees?,Do the manufacturers sell different kinds of toffees?,Are there varieties in these toffees?,Do these toffees come in different varieties?,Are there different kinds of toffees?,Do the sweets have different flavors?,,,,,,
0,0,0,1,Which regions have seen this decline in profits?,All of India. There are no region-wise disparities.,Where have we seen this problem?,Are there any particular regions that have faced this problem?,Have specific parts of the country faced this problem?,Is this issue prevalent in particular places?,Can we observe this issue in particular regions of the country?,Is the manufacturer facing this problem in particular regions of the country?,,,,,,
0,0,0,1,Where does the client lie in the value chain?,"We send the toffees to the distributor who sends them to large retail stores (10% sales), medium retail stores (30% sales) and small stores like Paan shops (60% sales) located all over India. They further sell the toffees to the end customers. We are just the manufacturers.",Where are we in the value chain?,Where does the Sweets manufacturer lie in the value chain?,What part of the value chain is the client in?,What is the client's business model?,Can you tell me something about the client's business model?,What business model does the client follow?,Where do we lie in the value chain?,What is the value chain of the product?,What is our value chain?,What is our business model?,Where does the client sell the toffees?,Where do we sell the toffees?
0,0,0,1,Is this a company specific issue or have other companies seen this trend as well?,Competitors are not facing a similar problem. Let us assume this is a company specific issue. The overall market size is the same.,Is this a market-wide issue?,Is this issue of decline in profits prevalent in the entire market?,Is this problem industry wide or company specific?,Is this a company specific issue or market wide issue?,Are competitors also facing this issue?,Is this issue being faced only by our client or competitors too?,Is the decline in profits being faced only by our client or competitors too?,Are competitors also facing this decline in profits?,Have other companies also faced this issue of decline in profits?,Has the market size changed in this period?,How are competitors doing?,
0,1,0,1,Where does our client manufacture?,The client manufactures the toffees in different region of the country and then the toffees are sold all over India. Assume the precise location of manufacturing is not important to the case.,What is the manufacturing location?,Where does the client operate from?,Where does the sweets manufacturer operate from?,Where are the operations based out of?,What is the geography of manufacturing and sales?,Where do we operate from?,Where do we produce and sell sweets?,Where do we sell these toffees?,Where does the client sell these toffees?,,,
,,,,,,,,,,,,,,,,,
0,-1,1,-1,I would like to break this down into internal and external factors.,Internal and external factors is not the best approach here. Lets instead break this down across the value chain.,I want to break this down into internal and external factors.,Can I break this down into external and internal factors?,Can I divide the fall in revenue into internal and external factors?,,,,,,,,,
