12,Your client is a drug lord from Mexico whose company is reporting a drop in profits in the last 2 years. He has hired you and you have no choice but to figure out why. How do you work it out?,"Instructions for the case: 
1. Avoid referring to a problem as 'this issue'. Refer to your client as the client or as the drug lord and not 'we', 'the manufacturer', 'the company' etc. 
2. Ask your questions in precise understandable English
3. Revenue/Profits should not be taken as same words",,,,,,,,,,,,,,,,
Question Ending,Question Importance,Question Class,Level,Question,Answer,Similar 1,Similar 2,Similar 3,Similar 4,Similar 5,Similar 6,Similar 7,Similar 8,Similar 8,Similar 9,Similar 10,Similar 11,Similar 12
0,0,0,1,What is the business model of the drug lord?,"We manufacture cocaine in large quantities in Mexico. It is then shipped to various countries. Here, the local drug cartels purchase the cocaine from us and sell it to the end consumers.",How does this drug dealing business work?,How does the entire business of the drug lord work?,How does the drug lord conduct the drug dealing business?,How does the drug lord engage in drug dealing exactly?,What is our business model?,What does the drug lord do exactly?,Which parts of the value chain is the drug lord involved in?,Are there specific parts of the value chain that the drug lord is involved in?,Which part of the value chain is the drug lord's company part of?,Where do we lie in the value chain?,Does the drug dealer manufacture the drugs and distribute the drugs?,Do we produce the drugs on our own?,What do we do exactly?
0,1,0,1,Do we have our own distributors?,We have our own distribution and transportation network.,Do we use 3rd party distribution?,Does the client use own distribution network?,Do we have our own distribution network?,Who are our distributors?,Who are the client's distributors?,,,,,,,,
0,0,0,1,How much have profits dropped by?,We do not have a numerical estimate for the decrease in profits. But it is significant enough to be worried.,What kind of fall in profits has the drug dealer faced?,What is the numerical decrease in profits in this period?,What is the decline in profits in this period?,What are the revenue streams of the drug lord?,What is the decline in our profits?,How much decline in profits have we observed?,,,,,,,
0,0,0,1,Which drugs does the client sell?,We only produce and sell cocaine. No other drugs. And we are only present in the cocaine manufacturing business.,Which all drugs does the client sell?,Is there a specific drug the client sell?,Does the client only sell cocaine?,What are the revenue streams of the drug lord?,Which are the different revenue streams of the drug lord?,Which revenue streams does the client use?,Which revenue streams does our drug lord use?,What is our product?,Is there any other revenue stream apart from selling cocaine?,What do we manufacture?,,,
0,0,0,1,Since when has there been a decline in profits?,A decline in profits has been observed over the last 2 years or so,Since when have the profits been decreasing?,Since when have the client's profits been falling?,For how long have the drug lord's profits been dropping?,How long have we been facing this issue?,,,,,,,,,
0,1,0,1,What is the mode of transportation used?,"We ship drugs overseas through sea routes, in cargo vessels. After that on land, our distributors typically use trucks.",What is the shipping journey like for our drug lord?,How is cocaine shipped across the world?,How is cocaine transported across the world?,How does the drug lord ship cocaine to other countries?,,,,,,,,,
0,1,0,1,Do we have competitors?,We have a lot of competing Mexican drug cartels. We also have local competitors.,Are there other companies that sell cocaine too?,Are there other Mexican drug cartels that sell cocaine as well?,Are there other companies in this business as well?,Do other companies or competitors also compete against our client in this business?,,,,,,,,,
