12,"Your client is a spirits company which makes vodka. Of late, they have experienced a decline in profits. Why is this happening? What recommendations can you give to turn this around?","Instructions for the case: 
1. Avoid referring to a problem as 'this issue'. Refer to your client as the client or as the drug lord and not 'we', 'the manufacturer', 'the company'. 
2. Ask your questions in precise and understandable English",,,,,,,,,,,,,,,
Question Ending,Question Importance,Question Class,Level,Question,Answer,Similar 1,Similar 2,Similar 3,Similar 4,Similar 5,Similar 6,Similar 7,Similar 8,Similar 9,Similar 10,Similar 11,Similar 12
,,,,What is vodka?,Vodka ,,,,,,,,,,,,
0,0,0,1,What kind of vodka does the client make?,We make a standard bottle of vodka. ,What exactly is the client's product?,What does the client make exactly?,What exactly is the vodka that the client makes?,What is our product?,What exactly is our vodka?,,,,,,,
0,1,0,1,What is the price of our vodka?,Assume the exact price of vodka is not important in this case. But our vodka is a highly priced product.,What is the price of product?,What is the price of the client's product?,Vodka price?,Cost of vodka?,,,,,,,,
0,1,0,1,What are the client's revenue streams?,Our only business and revenue stream is selling vodka. ,Which are the different revenue streams of the client?,Does the client have different revenue streams?,Does the client have different revenue streams?,What are our revenue streams?,What are our sources of income?,Do we have different revenue streams?,Is there any other revenue stream apart from manufacturing vodka?,,,,,
0,0,0,1,How much have the client's profits declined?,We do not have a numerical figure on the decline in our profits. But it is significant.,What is the decline in client's profits?,What is the numerical change in the client's profits?,How much have the profits declined by?,How much have our profits declined by?,What is the decline in our profits?,How much decline in profits have we observed?,How much decline have we faced?,What is the dip in profits?,What is the decline in profits?,,,
0,0,0,1,Since when have the profits been declining?,Profits have had a sharp decline in the past year or so.,For how long have the profits been declining?,Since when have the profits been declining?,Since when have the client's profits been declining?,Since when have we been facing this issue?,Since when are we facing this decline?,,,,,,,
0,0,0,1,Where is the client in the value chain?,We manufacture and sell vodka to the distributors. ,In which sections of the value chain does the client operate in?,Which are the different sections of the value chain in which the spirits company works?,Where does our client lie in the value chain?,Where all in the value chain does our client operate in?,Do we manufacture the vodka?,Do we have distelleries?,What is the client's business model?,What is the business model of our client?,What business model does our client operate with?,What is our business?,What is our business model?,What does the client do?
0,1,0,1,Does the client have any competitors?,Yes. There are other vodka manufacturing companies.,Are there any competitors in this vodka business?,Does the client face competition in the vodka business?,Are there other spirit companies that sell vodka?,Do we have competition in the vodka business?,Do we have competitors?,Do we have competing vodka making companies?,Who are our competitors?,,,,,
